Origen del fuego,Naturaleza,N incendios,Pct incendios,Acres,Pct acres,Acres promedio,Acres mediana,Desviacion tipica,Asimetria
Antropico,Evitable,1111469,59.1061,29953118.84,21.3748,26.9491,1.0,1049.6658,224.9699
No determinado,Indeterminada,490528,26.0855,23145929.69,16.5172,47.1857,0.78,1596.9168,156.3724
Natural,No evitable,278468,14.8085,87033501.02,62.108,312.544,0.2,5759.1391,47.417
